paper_id,title,year,venue,url,task,data,context,modality,method,metrics,code,status,notes
"xue2021tgrnet","TGRNet: A Table Graph Reconstruction Network for Table Structure Recognition","2021","ICCV","https://arxiv.org/abs/2106.10598","graph-based document understanding","TableGraph-350K+three TSR datasets","table crop","vision","joint cell detection and logical row/column location prediction","cell AP+logical-location accuracy","not reported","read","Evidence: explicitly predicts spatial boxes and logical row/column coordinates and validates on TableGraph-350K plus three public datasets; limitation: graphs terminate at one cropped table and do not model page or document nodes."
"chi2019graphtsr","Complicated Table Structure Recognition","2019","arXiv","https://arxiv.org/abs/1908.04729","graph-based document understanding","SciTSR","table crop","PDF text+geometry","graph neural network predicting relations among table cells","precision+recall+F1","https://github.com/Academic-Hammer/SciTSR","read","Evidence: introduces 15000 scientific tables with structure labels and improves relation prediction for spanning cells; limitation: starts from table cells and has no detection layout hierarchy or cross-page graph."
"ma2022robusttabnet","Robust Table Detection and Structure Recognition from Heterogeneous Document Images","2022","Pattern Recognition","https://arxiv.org/abs/2203.09056","page-level table extraction and TSR","cTDaR+PubLayNet+IIIT-AR-13K+SciTSR+PubTabNet","page+table crop","vision","CornerNet proposals plus split-and-merge Spatial/Grid CNN","AP+precision+recall+F1+TEDS","not reported","read","Evidence: one system is evaluated across three detection and three structure benchmarks and targets blank space and geometric distortion; limitation: heterogeneous pages are still processed independently and merge means cells within one table."
"prasad2020cascadetabnet","CascadeTabNet: An approach for end to end table detection and structure recognition from image-based documents","2020","CVPR Workshops","https://arxiv.org/abs/2004.12629","page-level table extraction and TSR","ICDAR-2013+ICDAR-2019+TableBank","page","vision","Cascade Mask R-CNN HRNet jointly detecting tables and body cells","precision+recall+F1","https://github.com/DevashishPrasad/CascadeTabNet","read","Evidence: a single CNN handles detection and body-cell segmentation with competitive reported results on three benchmarks; limitation: output lacks semantic hierarchy and page-to-page table identity."
"zheng2021gte","Global Table Extractor (GTE): A Framework for Joint Table Identification and Cell Structure Recognition Using Visual Context","2021","WACV","https://doi.org/10.1109/WACV48630.2021.00074","page-level table extraction and TSR","FinTabNet+PubTabNet","page","vision+PDF text","joint table identification and cell structure using page visual context","AP+TEDS","not reported","read","Evidence: page context jointly supports table localization and cell recovery and introduced FinTabNet-scale financial annotations; limitation: global means one page and the method does not form document-level table chains."
"long2023dividerows","Divide Rows and Conquer Cells: Towards Structure Recognition for Large Tables","2023","IJCAI","https://doi.org/10.24963/ijcai.2023/152","page-level table extraction and TSR","PubTabNet+FinTabNet","table crop","vision","row decomposition followed by cell reconstruction for large tables","TEDS+TEDS-Struct","not reported","read","Evidence: explicitly targets large-table decoding and is cited by later long-table and TSR work; limitation: large means many rows within a crop rather than fragments split by document pagination."
"rausch2021docparser","DocParser: Hierarchical Document Structure Parsing from Renderings","2021","AAAI","https://arxiv.org/abs/1911.01702","hierarchical document parsing and relation prediction","DocParser dataset","page","vision+weak supervision","entity detection plus hierarchical relation classification","mAP+relation F1","not reported","read","Evidence: weak supervision improves entity mAP by 39.1% and hierarchical-relation F1 by 35.8% over its baseline; limitation: the published hierarchy is inferred per rendering/page and does not define multi-page table alignment relations."
"ma2023hrdoc","HRDoc: Dataset and Baseline Method Toward Hierarchical Reconstruction of Document Structures","2023","AAAI","https://arxiv.org/abs/2303.13839","hierarchical document parsing and relation prediction","HRDoc","multi-page document","vision+text+layout","multimodal encoder and structure-aware GRU decoder","classification F1+relation F1+tree edit distance","https://github.com/jfma-USTC/HRDoc","read","Evidence: 2500 multi-page documents contain nearly two million line-level semantic units with category and relation labels; limitation: scientific document hierarchy stops at semantic lines/sections and does not annotate internal cross-page table structure."
"ma2024detectorderconstruct","Detect-Order-Construct: A Tree Construction based Approach for Hierarchical Document Structure Analysis","2024","Pattern Recognition","https://arxiv.org/abs/2401.11874","hierarchical document parsing and relation prediction","PubLayNet+DocLayNet+HRDoc+Comp-HRDoc","page+document","vision+text+layout","joint object detection reading order and tree construction","mAP+reading-order metrics+tree metrics","not reported","read","Evidence: evaluates a unified three-stage hierarchy pipeline on four layout/hierarchy benchmarks and reports state-of-the-art results; limitation: table cells and cross-page table fragment alignment are not modeled as dedicated relations."
"wang2024dochienet","DocHieNet: A Large and Diverse Dataset for Document Hierarchy Parsing","2024","EMNLP","https://doi.org/10.18653/v1/2024.emnlp-main.65","hierarchical document parsing and relation prediction","DocHieNet","multi-page document","text+layout","document hierarchy dataset and parsing baselines","node classification+relation F1+tree metrics","https://github.com/AlibabaResearch/AdvancedLiterateMachinery","read","Evidence: supplies a large diverse hierarchy benchmark beyond a single scientific template and evaluates document-level parent relations; limitation: hierarchy parsing does not reconstruct row/column topology inside tables or pair table fragments."
"luo2024docgraphlm","DocGraphLM: Documental Graph Language Model for Information Extraction","2024","SIGIR","https://arxiv.org/abs/2401.02823","graph-based document understanding","FUNSD+CORD+DocVQA","page","text+layout","language model plus learned graph reconstruction using direction and distance link prediction","entity F1+ANLS","not reported","read","Evidence: graph features consistently improve IE/QA on three datasets and accelerate convergence; limitation: learned neighborhood links are page-local proxies and are not supervised for layout hierarchy or cross-page table semantics."
"wang2021layoutreader","LayoutReader: Pre-training of Text and Layout for Reading Order Detection","2021","EMNLP","https://arxiv.org/abs/2108.11591","hierarchical document parsing and relation prediction","ReadingBank","page","text+layout","seq2seq reading-order pretraining from Word XML","BLEU+edit distance+accuracy","https://aka.ms/layoutreader","read","Evidence: automatically constructs 500000 document images with reading-order labels and substantially improves OCR ordering; limitation: ordering is a sequence rather than typed hierarchy and contains no table-fragment identity."
"shit2022relationformer","Relationformer: A Unified Framework for Image-to-Graph Generation","2022","ECCV","https://arxiv.org/abs/2203.10202","graph-based document understanding","Visual Genome+road graphs","image","vision","Deformable DETR with relation token for joint node and edge prediction","node AP+edge F1+graph metrics","https://github.com/suprosanna/relationformer","read","Evidence: demonstrates end-to-end image-to-graph prediction and is the architectural comparator used by POTATR; limitation: benchmarks are scene/road graphs rather than documents and contain no text or pagination."
"ma2024mmlongbenchdoc","MMLongBench-Doc: Benchmarking Long-context Document Understanding with Visualizations","2024","NeurIPS","https://arxiv.org/abs/2407.01523","multi-page VLM/document parsing","MMLongBench-Doc","long multi-page document","vision+text","benchmark of long-context LVLM question answering","F1+ANLS+evidence-page accuracy","https://mayubo2333.github.io/MMLongBench-Doc","read","Evidence: 1062 questions over 130 documents averaging 49.4 pages include 33.2% cross-page questions and best-model F1 only 42.7%; limitation: QA answers/evidence pages do not supply table reconstruction annotations."
"hu2025mplugdocowl2","mPLUG-DocOwl2: High-resolution Compressing for OCR-free Multi-page Document Understanding","2025","ACL","https://arxiv.org/abs/2409.03420","multi-page VLM/document parsing","DocOwl training mixture+multi-page benchmarks","multi-page document","vision+language","324-token DocCompressor with three-stage multi-image training","ANLS+accuracy+latency+token count","https://github.com/X-PLUG/mPLUG-DocOwl/tree/main/DocOwl2","read","Evidence: reduces first-token latency by over 50% and reports state-of-the-art multi-page QA with evidence-page and cross-page structure tasks; limitation: generative answers do not guarantee spatially grounded table topology or deterministic merging."
"nassar2025smoldocling","SmolDocling: An Ultra-Compact Vision-Language Model for End-To-End Multi-Modal Document Conversion","2025","ICCV","https://arxiv.org/abs/2503.11576","multi-page VLM/document parsing","public mixed document conversion data","page","vision+language","256M VLM generating spatial DocTags","Doc conversion metrics+TEDS","https://huggingface.co/ds4sd/SmolDocling-256M-preview","read","Evidence: one compact model emits located markup for tables equations charts code and other elements across diverse domains; limitation: inference is page-oriented and does not define document-level table continuation or alignment."
"li2025dotsocr","dots.ocr: Multilingual Document Layout Parsing in a Single Vision-Language Model","2025","arXiv","https://arxiv.org/abs/2512.02498","multi-page VLM/document parsing","OmniDocBench+XDocParse","page","vision+language","unified end-to-end layout detection OCR and relation generation","OmniDocBench metrics+XDocParse score","https://github.com/rednote-hilab/dots.ocr","read","Evidence: joint training covers layout text and relations and reports about 10% relative gain on 126-language XDocParse; limitation: the released task is page parsing and PubTables-v2 shows page-by-page document GriTS_Con only 0.577 before external merging."
"poznanski2025olmocr","olmOCR: Unlocking Trillions of Tokens in PDFs with Vision Language Models","2025","arXiv","https://arxiv.org/abs/2502.18443","multi-page VLM/document parsing","olmOCR-mix+olmOCR-Bench","page within PDF pipeline","vision+language","7B VLM for linearized Markdown with scalable PDF pipeline","olmOCR-Bench unit scores+cost","https://github.com/allenai/olmocr","read","Evidence: releases model data training and pipeline and reports processing cost of 176 USD per million pages on diverse PDFs; limitation: output is linearized page text and benchmark units do not measure cross-page table chain or column alignment."
"pfitzmann2022doclaynet","DocLayNet: A Large Human-Annotated Dataset for Document-Layout Analysis","2022","KDD","https://arxiv.org/abs/2206.01062","template/domain generalization and shortcut analysis","DocLayNet","page","vision","human-annotated 11-class layout detection benchmark","mAP+inter-annotator agreement","https://github.com/DS4SD/DocLayNet","read","Evidence: 80863 diverse pages show models trained on scientific-only corpora generalize poorly and remain about 10% below human agreement; limitation: page boxes have no cross-page relations and tables lack internal structure."
"maximo2021ddr","Document Domain Randomization for Deep Learning Document Layout Extraction","2021","arXiv","https://arxiv.org/abs/2105.14931","template/domain generalization and shortcut analysis","synthetic pseudo-pages+CS-150+ACL+VIS","page","vision","randomized synthetic document rendering for layout segmentation","class IoU+accuracy","not reported","read","Evidence: CNNs trained only on randomized pseudo-pages transfer competitively to real ACL/VIS documents and experiments isolate style mismatch; limitation: synthetic page semantics are coarse and do not model consistent multi-page table templates."
"geirhos2020shortcut","Shortcut Learning in Deep Neural Networks","2020","Nature Machine Intelligence","https://doi.org/10.1038/s42256-020-00257-z","template/domain generalization and shortcut analysis","cross-domain vision evidence","image","vision","survey and framework for unintended shortcut features","out-of-distribution performance","not reported","read","Evidence: synthesizes broad empirical evidence that high IID accuracy can rely on non-robust cues and fail under distribution shift; limitation: it is not document-specific and offers no ready-made table split protocol."
"bontempi2025dataleakage","Data Leakage in Visual Datasets","2025","ICCV Workshops","https://doi.org/10.1109/ICCVW69036.2025.00661","template/domain generalization and shortcut analysis","multiple visual datasets","image","vision","dataset leakage audit and similarity analysis","duplicate/leakage rates+performance delta","not reported","read","Evidence: shows visual overlap can inflate benchmark estimates and motivates grouping near-duplicate templates before splitting; limitation: the audit is generic visual recognition rather than PDF template or table-chain evaluation."
"team2025granitevision","Granite Vision: a lightweight open-source multimodal model for enterprise intelligence","2025","arXiv","https://arxiv.org/abs/2502.09927","multi-page VLM/document parsing","enterprise instruction mixture+LiveXiv","page","vision+language","2B decoder VLM with document instruction tuning","DocVQA+ChartQA+LiveXiv metrics","https://huggingface.co/ibm-granite","screened","Relevant compact VLM and contamination-aware LiveXiv evaluation; page-level output only and no cross-page table recovery protocol."
"zhong2019publaynet","PubLayNet: Largest Dataset Ever for Document Layout Analysis","2019","ICDAR","https://arxiv.org/abs/1908.07836","layout analysis","PubLayNet","page","vision","automatically aligned XML/PDF layout boxes","mAP","https://github.com/ibm-aur-nlp/PubLayNet","screened","Large scientific layout pretraining source but page boxes have only five classes and no document relations."
"simsa2023docile","DocILE Benchmark for Document Information Localization and Extraction","2023","ICDAR","https://arxiv.org/abs/2302.05658","template/domain generalization and shortcut analysis","DocILE","multi-page business document","text+layout+vision","KILE and line-item recognition benchmark with seen/few/zero-shot layouts","F1+AP","https://github.com/rossumai/docile","screened","Useful precedent for layout-disjoint evaluation with 6.7k annotated and 100k synthetic documents; targets invoices and IE rather than academic multi-page table reconstruction."
"smock2025potatrplaceholder","POTATR: A Lightweight Image-to-Graph Model for Page-Level Table Extraction (OpenAlex duplicate record)","2026","OpenAlex","https://openalex.org/W7164235262","bibliographic deduplication","none","none","none","duplicate metadata record","none","none","excluded","duplicate"
"kasem2022stdw","Table Detection in the Wild: A Novel Diverse Table Detection Dataset and Method","2022","arXiv","https://arxiv.org/abs/2209.09207","page-level table extraction and TSR","STDW","page","vision","diverse table detection dataset plus CNN baseline","precision+recall+mAP","https://huggingface.co/datasets/n3011/STDW","screened","Broadens table appearance domains but annotations stop at detection and contain no cross-page links."
"shen2021layoutparser","LayoutParser: A Unified Toolkit for Deep Learning Based Document Image Analysis","2021","ICDAR","https://arxiv.org/abs/2103.15348","layout analysis","multiple layout datasets","page","vision","modular layout detection and OCR toolkit","model-specific mAP","https://github.com/Layout-Parser/layout-parser","screened","Useful engineering baseline but a toolkit rather than a learned document-level table recovery method."
"paliwal2019tablenet","TableNet: Deep Learning Model for End-to-end Table Detection and Tabular Data Extraction from Scanned Document Images","2019","ICDAR","https://doi.org/10.1109/ICDAR.2019.00029","page-level table extraction and TSR","Marmot+custom","page","vision","encoder with table and column segmentation decoders","precision+recall+F1","https://github.com/jainammm/TableNet","screened","Early joint table/column segmentation baseline; scanned page focus and no hierarchical or cross-page output."
"wei2026deepseekocr2","DeepSeek-OCR 2: Visual Causal Flow","2026","arXiv","https://arxiv.org/abs/2601.20552","multi-page VLM/document parsing","document OCR benchmarks","page","vision+language","causal visual token flow for OCR and parsing","OCR/layout benchmark scores","https://github.com/deepseek-ai/DeepSeek-OCR","screened","Strong page parser included in current comparisons; no explicit cross-page table alignment or document-level graph output."
"li2025unihdsa","UniHDSA: A Unified Relation Prediction Approach for Hierarchical Document Structure Analysis","2025","Pattern Recognition","https://doi.org/10.1016/j.patcog.2025.111617","hierarchical document parsing and relation prediction","HRDoc+hierarchy datasets","document","vision+text+layout","unified relation prediction for hierarchy","relation F1+tree metrics","not reported","screened","Round-one forward citation extends relation prediction but does not introduce a new table-alignment annotation category."
"borchardt2026zeroshot","Zero-Shot Table Extraction in Business Documents: A Unified Benchmark with Error Taxonomy and Ecological Analysis","2026","WACV","https://doi.org/10.1109/WACV61042.2026.00483","template/domain generalization and shortcut analysis","business-document benchmark","page","vision+language","zero-shot model comparison with ecological error taxonomy","GriTS+TEDS+error categories","not reported","screened","Important post-2025 generalization benchmark; business page extraction rather than cross-page scientific table recovery."
"choi2024e2etatr","End to End Table Transformer","2024","ICDAR","https://doi.org/10.1007/978-3-031-70533-5_20","page-level table extraction and TSR","public TSR datasets","table crop","vision","end-to-end transformer for structure and content","TEDS+GriTS","not reported","screened","Recent transformer baseline discovered by POTATR backward search; remains cropped/page-level."
"zhang2024sprint","SPRINT: Script-agnostic Structure Recognition in Tables","2024","DAS","https://doi.org/10.1007/978-3-031-70549-6_21","page-level table extraction and TSR","multilingual TSR datasets","table crop","vision","script-agnostic structure recognizer","TEDS-Struct+F1","not reported","screened","Useful for language robustness but no page context or table continuation."
"wang2024dlaformer","DLAFormer: An End-to-End Transformer For Document Layout Analysis","2024","ICDAR","https://doi.org/10.1007/978-3-031-70546-5_3","layout analysis","layout benchmarks","page","vision","end-to-end transformer layout detector","mAP","not reported","screened","Page-layout competitor discovered in hierarchy citation search; does not recover table structure or cross-page relations."
"baek2023trace","TRACE: Table Reconstruction Aligned to Corner and Edges","2023","ICDAR","https://doi.org/10.1007/978-3-031-41734-4_29","page-level table extraction and TSR","public TSR datasets","table crop","vision","corner/edge aligned table reconstruction","TEDS+GriTS","not reported","screened","Potential strong page-level component but no document context or continuation decision."
"li2019tablebank","TableBank: Table Benchmark for Image-based Table Detection and Recognition","2019","LREC","https://arxiv.org/abs/1903.01949","page-level table extraction and TSR","TableBank","page+crop","vision","Word/LaTeX weakly generated detection and recognition data","precision+recall+F1","https://github.com/doc-analysis/TableBank","screened","Large weakly labeled source with template leakage risk; no multi-page identity."
"ihaka1996r","R: A Language for Data Analysis and Graphics","1996","Journal of Computational and Graphical Statistics","https://doi.org/10.1080/10618600.1996.10474713","irrelevant search hit","none","none","none","none","none","none","excluded","non-document-table"
"xu2024transfw","Trans-FW: Short Circuiting Page Table Walk in Multi-GPU Systems via Remote Forwarding","2024","computer architecture venue","https://dblp.org/search?q=Trans-FW","irrelevant search hit","none","none","none","none","none","none","excluded","non-document-table"
