search_id,date,source,query,result_count,pages_screened,new_candidates,notes
"acm-q1","2026-07-24","ACM Digital Library","multi-page table AND (recognition OR extraction OR detection)","NA","0","0","Public search endpoint returned HTTP 403; DOI records checked through Crossref/OpenAlex."
"acm-q2","2026-07-24","ACM Digital Library","cross-page table AND (continuation OR merging OR structure)","NA","0","0","Public search endpoint returned HTTP 403."
"acm-q3","2026-07-24","ACM Digital Library","table extraction AND (full document OR page context)","NA","0","0","Public search endpoint returned HTTP 403."
"acm-q4","2026-07-24","ACM Digital Library","hierarchical document parsing AND (graph OR relation)","NA","0","0","Public search endpoint returned HTTP 403."
"acm-q5","2026-07-24","ACM Digital Library","table structure recognition AND (long table OR document)","NA","0","0","Public search endpoint returned HTTP 403."
"acm-q6","2026-07-24","ACM Digital Library","document layout analysis AND (relationship OR reading order)","NA","0","0","Public search endpoint returned HTTP 403."
"acm-q7","2026-07-24","ACM Digital Library","template generalization AND document AI","NA","0","0","Public search endpoint returned HTTP 403."
"springer-q1","2026-07-24","SpringerLink","multi-page table AND (recognition OR extraction OR detection)","NA","0","0","Search page returned a JavaScript client challenge; direct DOI chapter pages and Crossref metadata were used."
"springer-q2","2026-07-24","SpringerLink","cross-page table AND (continuation OR merging OR structure)","NA","0","1","Client challenge blocked result count; Qin 2024 was verified by DOI/title metadata."
"springer-q3","2026-07-24","SpringerLink","table extraction AND (full document OR page context)","NA","0","0","Search page returned a client challenge."
"springer-q4","2026-07-24","SpringerLink","hierarchical document parsing AND (graph OR relation)","NA","0","0","Search page returned a client challenge."
"springer-q5","2026-07-24","SpringerLink","table structure recognition AND (long table OR document)","NA","0","0","Search page returned a client challenge."
"springer-q6","2026-07-24","SpringerLink","document layout analysis AND (relationship OR reading order)","NA","0","0","Search page returned a client challenge."
"springer-q7","2026-07-24","SpringerLink","template generalization AND document AI","NA","0","0","Search page returned a client challenge."
"cvf-q1","2026-07-24","CVF Open Access","multi-page table AND (recognition OR extraction OR detection)","NA","1","2","CVF has proceedings indexes but no native full-text search; OpenAlex/arXiv discoveries were verified on official CVF records."
"cvf-q2","2026-07-24","CVF Open Access","cross-page table AND (continuation OR merging OR structure)","NA","1","0","No native query interface; relevant CVF paper pages were title-checked."
"cvf-q3","2026-07-24","CVF Open Access","table extraction AND (full document OR page context)","NA","1","2","No native query interface; PubTables-1M and GTE records verified."
"cvf-q4","2026-07-24","CVF Open Access","hierarchical document parsing AND (graph OR relation)","NA","1","1","No native query interface; graph/table records verified by title."
"cvf-q5","2026-07-24","CVF Open Access","table structure recognition AND (long table OR document)","NA","1","5","No native query interface; CVPR/ICCV/WACV table papers verified by title."
"cvf-q6","2026-07-24","CVF Open Access","document layout analysis AND (relationship OR reading order)","NA","1","1","No native query interface; relevant workshop/proceedings records checked."
"cvf-q7","2026-07-24","CVF Open Access","template generalization AND document AI","NA","1","1","No native query interface; DocLayNet and leakage/generalization candidates checked elsewhere."
"openalex-exact-1","2026-07-24","OpenAlex supplemental","title.search exact phrase: multi-page table","1","1","1","Returned PubTables-v2."
"openalex-exact-2","2026-07-24","OpenAlex supplemental","title.search exact phrase: cross-page table","1","1","1","Returned Qin et al. 2024."
"openalex-post-ptv2","2026-07-24","OpenAlex supplemental","PubTables-v2 related and post-2025 title search","4","1","2","Found released POTATR arXiv:2606.09788 and VCCT DOI 10.2139/ssrn.6811737; PubTables-v2 itself has zero indexed forward citations."
"snowball-r1-backward","2026-07-24","OpenAlex+full-text references","Backward citations from PubTables-v2 POTATR PubTables-1M GriTS DocParser GraphTSR and Qin","121","6","18","Added page-level graph hierarchy multi-page VLM and generalization categories; POTATR reference list inspected in full PDF."
"snowball-r1-forward","2026-07-24","OpenAlex cited-by","Forward citations of PubTables-1M GriTS DocParser GraphTSR Qin PubTables-v2 and POTATR","238","6","8","New candidates included UniHDSA zero-shot business-table evaluation and long-table methods; no new cross-page academic-PDF dataset."
"snowball-r2-backward","2026-07-24","OpenAlex references","Backward citations from UniHDSA Zero-Shot Table Extraction Divide Rows and Tables Decoded","148","4","4","References resolve to existing hierarchy detection TSR metric and benchmark categories; no new method or dataset category."
"snowball-r2-forward","2026-07-24","OpenAlex cited-by","Forward citations from UniHDSA Zero-Shot Table Extraction Divide Rows and Tables Decoded","15","2","2","Only Divide Rows had indexed forward citations; long-table TSR papers did not add a cross-page alignment category. Stopping rule satisfied for category discovery."
"openalex-crosspage-sota","2026-08-02","OpenAlex supplemental","title and abstract searches for cross-page table, multi-page table, table continuation, table merging, table stitching, and table concatenation","NA","NA","1","Recovered the known direct works and identified LingDT-VL-OCR for full-text verification; no additional public exact-match benchmark was found."
"arxiv-crosspage-sota","2026-08-02","arXiv API and HTML","cross-page or multi-page table combined with reconstruction, merging, stitching, exact match, perfect, or structure integrity","NA","NA","1","Verified LingDT-VL-OCR v2, FinDocBench statistics, and mean cross-page TEDS 0.8915 on 472 instances."
"web-exact-crosspage-sota","2026-08-02","Focused web search","quoted cross-page table and multi-page table with exact match, perfect reconstruction, structure integrity rate, SIR, or Acc_Con","NA","NA","0","Results converged on PubTables-v2, POTATR, VCCT, Qin, and LingDT-VL-OCR; no second public dedicated exact-match study was located."
"fulltext-sota-audit","2026-08-02","Direct PDF/HTML full text","Metric definitions and result tables in PubTables-v2 v3, POTATR v1, VCCT SSRN preprint, and LingDT-VL-OCR v2","4","4","0","Verified Acc_Con 0.2452 and Acc_Top 0.5799 for Claude; POTATR plus merging Acc_Con 0.2176; FinDocBench cross-page TEDS 0.8915; VCCT SIR 82.0% with private-data and credibility caveats."
